Алексеев Лука Вадимович
Чернов Александр Евгеньевич
Макаров Максим Тимофеевич
Игнатов Никита Егорович
Волков Егор Викторович
Поляков Михаил Александрович
Тимофеев Али Демидович
Крылов Никита Максимович
Абрамов Алексей Маркович
Фролов Степан Даниэльевич
Марков Тимофей Ильич
Медведев Иван Михайлович
Виноградов Александр Эмильевич
Кириллов Семён Ярославович
Сальников Матвей Ильич
Румянцев Максим Артёмович
Егоров Леон Русланович
Петров Ярослав Львович
Дмитриев Алексей Романович
Комаров Марк Гордеевич
Александров Иван Никитич
Моисеев Захар Максимович
Воронов Михаил Максимович
Кудрявцев Кирилл Владимирович
Блинов Тимофей Игоревич
Филиппов Александр Никитич
Федоров Мирон Юрьевич
Кузнецов Тимур Иванович
Вавилов Иван Владиславович
Чумаков Иван Ильич
Блинов Дмитрий Романович
Семенов Серафим Никитич
Царев Александр Тимофеевич
Зубков Лев Андреевич
Медведев Даниил Дмитриевич
Бородин Валерий Маркович
Герасимов Дмитрий Маркович
Громов Денис Павлович
Григорьев Дмитрий Артёмович
Тимофеев Роман Эмирович
Мартынов Платон Владимирович
Сальников Макар Матвеевич
Борисов Кирилл Иванович
Румянцев Михаил Макарович
Кулагин Михаил Максимович
Сухов Сергей Демидович
Комиссаров Ярослав Давидович
Жуков Максим Артёмович
Емельянов Максим Михайлович
Виноградов Дмитрий Иванович
Архипов Павел Даниилович
Архипов Алексей Михайлович
Захаров Михаил Маркович
Новиков Глеб Маркович
Баженов Артём Степанович
Смирнов Кирилл Никитич
Кожевников Максим Алексеевич
Винокуров Даниил Егорович
Губанов Денис Тимофеевич
Антонов Дмитрий Максимович
Зайцев Алексей Кириллович
Лебедев Сергей Тимурович
Высоцкий Даниил Тимофеевич
Зубков Максим Матвеевич
Ильин Марк Арсентьевич
Кузнецов Павел Даниилович
Медведев Макар Романович
Беляев Василий Миронович
Сальников Евгений Данилович
Максимов Егор Даниилович
Грачев Артём Давидович
Степанов Ян Маркович
Васильев Мирон Егорович
Дорофеев Максим Романович
Шубин Кирилл Никитич
Данилов Гордей Даниилович
Смирнов Родион Данилович
Наумов Фёдор Матвеевич
Архипов Владимир Адамович
Смирнов Максим Матвеевич
Журавлев Тимур Алексеевич
Виноградов Артём Ильич
Чистяков Максим Ильич
Денисов Тимофей Никитич
Щербаков Арсений Давидович
Селиванов Семён Ильич
Королев Артём Олегович
Семенов Илья Кириллович
Левин Мирон Иванович
Куликов Дмитрий Иванович
Родионов Егор Львович
Морозов Алексей Дмитриевич
Басов Андрей Захарович
Баранов Мирон Кириллович
Чернышев Артём Егорович
Лукьянов Тимофей Маркович
Алексеев Владислав Романович
Матвеев Артём Германович
Иванов Матвей Тимофеевич
Макаров Руслан Львович
Сидоров Александр Даниэльевич
Ушаков Артём Святославович
Поляков Фёдор Маркович
Колесников Фёдор Максимович
Сергеев Мирон Владимирович
Лебедев Михаил Артёмович
Крюков Никита Иванович
Ефремов Роман Никитич
Голованов Максим Никитич
Новиков Александр Матвеевич
Комаров Николай Артёмович
Титов Никита Арсентьевич
Попов Илья Артёмович
Харитонов Илья Лукич 
Гончаров Данила Ярославович
Семенов Александр Артёмович
Кожевников Марк Кириллович
Никулин Георгий Вячеславович
Михеев Иван Фёдорович
Моисеев Глеб Давидович
Смирнов Михаил Ильич
Иванов Александр Денисович
Данилов Михаил Никитич
Соболев Александр Сергеевич
Маркин Андрей Павлович
Исаков Евгений Миронович
Макеев Владимир Игоревич
Иванов Дамир Ильич
Воробьев Иван Владиславович
Устинов Даниил Глебович
Иванов Алексей Александрович
Семенов Максим Юрьевич
Ильин Максим Никитич
Левин Виталий Михайлович
Егоров Макар Ильич
Кузнецов Давид Никитич
Архипов Демьян Георгиевич
Андреев Артём Ильич
Белов Константин Всеволодович
Михайлов Фёдор Маркович
Розанов Артур Дмитриевич
Комаров Герман Артёмович
Соколов Юрий Львович
Панкратов Руслан Фёдорович
Елисеев Даниил Львович
Лазарев Алексей Маркович
Комаров Матвей Викторович
Леонов Вячеслав Давидович
Большаков Максим Иванович
Новиков Лев Николаевич
Логинов Демид Арсенович
Плотников Дамир Александрович
Антонов Даниил Львович
Орлов Марк Денисович
Ермаков Арсений Никитич
Алексеев Давид Александрович
Дьяконов Константин Александрович
Яковлев Леонид Михайлович
Галкин Кирилл Львович
Никольский Михаил Матвеевич
Черкасов Тимофей Эмильевич
Кузнецов Николай Маркович
Соболев Дмитрий Павлович
Волков Давид Кириллович
Пономарев Алексей Максимович
Ермаков Алексей Маркович
Кузнецов Григорий Иванович
Смирнов Денис Степанович
Вешняков Артём Денисович
Смирнов Денис Дмитриевич
Терентьев Борис Иванович
Волков Иван Максимович
Носов Данил Алексеевич
Агафонов Макар Григорьевич
Захаров Тимофей Алексеевич
Овчинников Даниил Ильич
Яковлев Александр Константинович
Федотов Руслан Романович
Баранов Михаил Олегович
Колесников Марк Даниилович
Сухов Фёдор Александрович
Смирнов Дмитрий Михайлович
Нечаев Александр Егорович
Антонов Егор Демидович
Смирнов Лев Валерьевич
Щербаков Матвей Николаевич
Зотов Александр Степанович
Максимов Артемий Дмитриевич
Степанов Даниил Макарович
Морозов Фёдор Петрович
Кузьмин Артём Сергеевич
Крылов Кирилл Валерьевич
Журавлев Максим Георгиевич
Мальцев Владимир Артёмович
Куликов Степан Алексеевич
Щербаков Максим Матвеевич
Муравьев Максим Викторович
Степанов Александр Максимович
Трофимов Никита Маркович
Шишкин Денис Глебович
